Path,Aggregated,2024-03-05T00:00:00.000Z,2024-03-05T00:05:00.000Z,2024-03-05T00:10:00.000Z,2024-03-05T00:15:00.000Z,2024-03-05T00:20:00.000Z,2024-03-05T00:25:00.000Z,2024-03-05T00:30:00.000Z,2024-03-05T00:35:00.000Z,2024-03-05T00:40:00.000Z,2024-03-05T00:45:00.000Z,2024-03-05T00:50:00.000Z,2024-03-05T00:55:00.000Z
tree.carbon,1519.6548663576962,75.86501323782241,69.28375590930267,82.68296815458848,94.91494375538794,77.9716174519238,101.62275150571409,126.62134429875306,141.16709119006566,164.50252022749825,194.82506977189934,166.86874166838538,223.329049186355
tree.children.azure.carbon,1209.6373976177824,58.99206746016348,52.61590657752441,65.84345241057477,78.40816135232595,61.08832882590301,80.8025303102205,100.3185096366874,115.94715720701502,130.6244943651292,159.05095474206783,119.59027053143049,186.35556419874044
tree.children.azure.children.westus3.carbon,614.3369145648795,26.24561556806502,28.72269375568792,33.97938215413997,39.221515563735636,27.483756746835034,45.00001119175948,45.91261824974941,62.943387671630695,67.61625398915012,91.89724952038765,60.910394625578576,84.40403552816005
tree.children.azure.children.westus3.children.db.carbon,250.17996036630296,11.532716247944395,15.865110764532398,12.91735835517949,12.324367008016752,8.629830099681989,20.342361561394398,25.44539128773256,26.582435183530876,28.327050588719548,37.54227589737991,31.8790435663605,18.792019805830122
tree.children.azure.children.westus3.children.db.children.server-westus3-1.carbon,130.22659593332884,4.846950361673761,7.932555382266199,5.700037766317576,9.028940755694796,6.4839494798570545,9.724783940952868,12.899302168254001,11.689809666662432,15.982978340564367,20.928790287673213,19.875473986396685,5.133023797015875
tree.children.azure.children.westus3.children.db.children.server-westus3-2.carbon,119.95336443297413,6.685765886270634,7.932555382266199,7.217320588861914,3.295426252321956,2.1458806198249354,10.617577620441528,12.546089119478557,14.892625516868444,12.34407224815518,16.613485609706697,12.003569579963818,13.658996008814245
tree.children.azure.children.westus3.children.cache.carbon,90.73408007145464,4.579086654862316,1.1702631926094054,4.5217093919255795,7.621959077506032,1.4906450048743614,10.123079975645286,3.626726894578653,14.226126358099613,10.037574548958872,12.717749946596975,3.5953870196571893,17.023772006140344
tree.children.azure.children.westus3.children.cache.children.server-westus3-3.carbon,90.73408007145464,4.579086654862316,1.1702631926094054,4.5217093919255795,7.621959077506032,1.4906450048743614,10.123079975645286,3.626726894578653,14.226126358099613,10.037574548958872,12.717749946596975,3.5953870196571893,17.023772006140344
tree.children.azure.children.westus3.children.api.carbon,273.422874127122,10.133812665258311,11.687319798546117,16.540314407034902,19.27518947821285,17.363281642278682,14.534569654719792,16.840500067438196,22.134826130000206,29.251628851471708,41.637223676410756,25.435964039560883,48.58824371618959
tree.children.azure.children.westus3.children.api.children.server-westus3-4.carbon,133.28086408419782,4.181748520424888,7.017629649949402,8.12606514237128,9.853565380476002,9.783988505104762,7.004607945641372,12.183662273383407,7.536691005076628,16.15233349994918,20.4921443449954,6.276482002964027,24.67194581386146
tree.children.azure.children.westus3.children.api.children.server-westus3-5.carbon,140.1420100429242,5.952064144833424,4.6696901485967155,8.414249264663622,9.421624097736848,7.579293137173921,7.529961709078421,4.656837794054789,14.59813512492358,13.09929535152253,21.145079331415353,19.159482036596856,23.91629790232813
tree.children.azure.children.westus2.carbon,595.300483052903,32.74645189209846,23.89321282183649,31.864070256434793,39.186645788590305,33.60457207906798,35.802519118461035,54.40589138693798,53.00376953538433,63.008240375979085,67.15370522168018,58.679875905851915,101.95152867058039
tree.children.azure.children.westus2.children.db.carbon,267.43496315810467,13.992842457337074,9.19794061174885,12.179509232699761,19.563816058886065,20.132498686772106,15.349655491233847,24.94534823955528,22.805213695830275,26.481999269653855,24.789809545797866,34.836019524097985,43.16031034449166
tree.children.azure.children.westus2.children.db.children.server-westus2-1.carbon,136.89671843921823,6.973118617698042,5.587240821329358,5.054497592686299,9.853565380476002,10.677572599650613,9.840110329429018,12.256983755387065,9.034166740182279,12.67434281000963,15.312988657496605,19.875473986396685,19.756657148476645
tree.children.azure.children.westus2.children.db.children.server-westus2-2.carbon,130.5382447188864,7.019723839639032,3.6106997904194924,7.125011640013463,9.710250678410063,9.454926087121493,5.5095451618048275,12.688364484168213,13.771046955647996,13.807656459644223,9.47682088830126,14.960545537701302,23.403653196015014
tree.children.azure.children.westus2.children.cache.carbon,104.0194101046374,5.952064144833424,1.514365955401858,6.984018042741521,2.566464959044687,1.7103551114665874,10.994121154588594,12.688364484168213,7.144452253358355,12.116025561330567,15.765578928491728,10.611251244759996,15.97234826445188
tree.children.azure.children.westus2.children.cache.children.server-westus2-3.carbon,104.0194101046374,5.952064144833424,1.514365955401858,6.984018042741521,2.566464959044687,1.7103551114665874,10.994121154588594,12.688364484168213,7.144452253358355,12.116025561330567,15.765578928491728,10.611251244759996,15.97234826445188
tree.children.azure.children.westus2.children.api.carbon,223.84610979016088,12.801545289927969,13.18090625468578,12.70054298099351,17.056364770659552,11.761718280829282,9.458742472638592,16.77217866321449,23.054103586195698,24.410215544994664,26.59831674739059,13.232605136993934,42.818870061636844
tree.children.azure.children.westus2.children.api.children.server-westus2-4.carbon,115.27025215859348,4.579086654862316,6.117026371346988,6.058720299515875,8.027424014964756,10.051363169362695,1.7696322487599427,12.617402827019863,10.829066274985292,15.897845595402636,11.766076462681616,8.270354716249917,19.28625352344161
tree.children.azure.children.westus2.children.api.children.server-westus2-5.carbon,108.5758576315674,8.222458635065653,7.063879883338792,6.641822681477636,9.028940755694796,1.7103551114665874,7.689110223878649,4.154775836194625,12.225037311210405,8.51236994959203,14.832240284708977,4.962250420744017,23.53261653819523
tree.children.aws.carbon,310.0174687399136,16.872945777658924,16.667849331778264,16.839515744013717,16.506782403061994,16.8832886260208,20.820221195493595,26.302834662065663,25.21993398305065,33.878025862369036,35.77411502983152,47.27847113695489,36.97348498761457
tree.children.aws.children.us-west-1.carbon,310.0174687399136,16.872945777658924,16.667849331778264,16.839515744013717,16.506782403061994,16.8832886260208,20.820221195493595,26.302834662065663,25.21993398305065,33.878025862369036,35.77411502983152,47.27847113695489,36.97348498761457
tree.children.aws.children.us-west-1.children.db.carbon,131.51655072842013,7.712988574365136,7.925613966119939,6.93361938411074,8.682424885827484,7.725810194371257,7.930918653870037,12.969873841431655,11.733351528281254,15.198646655347435,14.168878021240644,19.197907111386336,11.336517912068206
tree.children.aws.children.us-west-1.children.db.children.server-us-west-1-1.carbon,59.22540665130238,3.78786428766713,3.9433979323665795,3.739117712424975,4.1157601111825155,3.7523401052647944,4.014921002942787,6.6469839795632035,4.69427913332397,8.069120593241479,3.869876491895087,9.654261466512583,2.9374838349172867
tree.children.aws.children.us-west-1.children.db.children.server-us-west-1-2.carbon,72.29114407711774,3.9251242866980065,3.9822160337533594,3.1945016716857646,4.566664774644967,3.9734700891064625,3.915997650927251,6.322889861868451,7.039072394957285,7.129526062105956,10.299001529345558,9.543645644873752,8.39903407715092
tree.children.aws.children.us-west-1.children.cache.carbon,55.76516179201549,2.9467350840707507,2.0452282914983884,3.241738263459374,2.67037095357777,4.405760335285011,4.296390855545385,5.851070434670369,4.863395142168727,6.101723032518941,3.5125543395139673,10.402497478766147,5.4276975809406585
tree.children.aws.children.us-west-1.children.cache.children.server-us-west-1-3.carbon,55.76516179201549,2.9467350840707507,2.0452282914983884,3.241738263459374,2.67037095357777,4.405760335285011,4.296390855545385,5.851070434670369,4.863395142168727,6.101723032518941,3.5125543395139673,10.402497478766147,5.4276975809406585
tree.children.aws.children.us-west-1.children.api.carbon,122.73575621947799,6.213222119223037,6.697007074159934,6.664158096443603,5.1539865636567415,4.751718096364533,8.59291168607817,7.481890385963636,8.62318731260067,12.577656174502659,18.092682669076908,17.678066546802405,20.2092694946057
tree.children.aws.children.us-west-1.children.api.children.server-us-west-1-4.carbon,58.29754766147041,2.229817719001831,3.070983548259381,2.945332576453104,1.4035238562769294,3.047039755589859,3.707352458078318,5.377006920270899,4.242391262306262,4.947921658019259,9.3001608980691,8.02380508028982,10.00221192885565
tree.children.aws.children.us-west-1.children.api.children.server-us-west-1-5.carbon,64.43820855800759,3.983404400221206,3.6260235259005533,3.718825519990499,3.7504627073798122,1.7046783407746742,4.885559227999852,2.104883465692737,4.380796050294409,7.6297345164834,8.792521771007806,9.654261466512583,10.207057565750052
